Company,Metric,Period,Value
Intel,Net Income (Normalized),FQ 4Q01,504000
Intel,Net Income (Normalized),FQ 3Q01,106000
Intel,Net Income (Normalized),FQ 2Q01,196000
Intel,Net Income (Normalized),FQ 1Q01,485000
Intel,Net Income (Normalized),FQ 4Q00,2193000
Intel,Net Income (Normalized),FQ 3Q00,2509000
Intel,Net Income (Normalized),FQ 2Q00,3137000
Intel,Net Income (Normalized),FQ 1Q00,2696000
Intel,Net Income (Normalized),FQ 4Q99,2108000
Intel,Net Income (Normalized),FQ 3Q99,1458000
Intel,Net Income (Normalized),FQ 2Q99,1749000
Intel,Net Income (Normalized),FQ 1Q99,1999000
Intel,Net Income (Normalized),FQ 4Q98,2064000
Intel,Net Income (Normalized),FQ 3Q98,1559000
Intel,Net Income (Normalized),FQ 2Q98,1172000
Intel,Net Income (Normalized),FQ 1Q98,1273000
Intel,Net Income (Normalized),FQ 4Q97,1743000
Intel,Net Income (Normalized),FQ 3Q97,1574000
Intel,Net Income (Normalized),FQ 2Q97,1645000
Intel,Net Income (Normalized),FQ 1Q97,1983000
Intel,Net Income (Normalized),FQ 4Q96,1910000
Intel,Net Income (Normalized),FQ 3Q96,1312000
Intel,Net Income (Normalized),FQ 2Q96,1041000
Intel,Net Income (Normalized),FQ 1Q96,894000
Intel,Net Income (Normalized),FQ 4Q95,867000
Intel,Net Income (Normalized),FQ 3Q95,931000
Intel,Net Income (Normalized),FQ 2Q95,879000
Intel,Net Income (Normalized),FQ 1Q95,889000
Intel,Net Income (Normalized),FQ 4Q94,372000
Intel,Net Income (Normalized),FQ 3Q94,659000
Intel,Net Income (Normalized),FQ 2Q94,640000
Intel,Net Income (Normalized),FQ 1Q94,617000
Intel,Net Income (Normalized),FQ 4Q93,594000
Intel,Net Income (Normalized),FQ 3Q93,584000
Intel,Net Income (Normalized),FQ 2Q93,569000
Intel,Net Income (Normalized),FQ 1Q93,548000
Intel,Net Income (Normalized),FQ 4Q92,429000
Intel,Net Income (Normalized),FQ 3Q92,240800
Intel,Net Income (Normalized),FQ 2Q92,213200
Intel,Net Income (Normalized),FQ 1Q92,184100
Intel,Net Income (Normalized),FQ 4Q91,188700
Intel,Net Income (Normalized),FQ 3Q91,201700
Intel,Net Income (Normalized),FQ 2Q91,230800
Intel,Net Income (Normalized),FQ 1Q91,197400
Intel,Net Income (Normalized),FQ 4Q90,163900
Intel,Net Income (Normalized),FQ 3Q90,171900
Intel,Net Income (Normalized),FQ 2Q90,170700
Intel,Net Income (Normalized),FQ 1Q90,143800
Intel,Net Income (Normalized),FQ 4Q89,122700
Intel,Net Income (Normalized),FQ 3Q89,72000
Intel,Net Income (Normalized),FQ 2Q89,99300
Intel,Net Income (Normalized),FQ 1Q89,97000
Intel,Net Income (Normalized),FQ 4Q88,85800
Intel,Net Income (Normalized),FQ 3Q88,142700
Intel,Net Income (Normalized),FQ 2Q88,130700
Intel,Net Income (Normalized),FQ 1Q88,93700
Intel,Net Income (Normalized),FQ 4Q87,72000
Intel,Net Income (Normalized),FQ 3Q87,52000
Intel,Net Income (Normalized),FQ 2Q87,31500
Intel,Net Income (Normalized),FQ 1Q87,20000
Intel,Net Income (Normalized),FQ 4Q86,-26600
Intel,Net Income (Normalized),FQ 3Q86,-114200
Intel,Net Income (Normalized),FQ 2Q86,-22900
Intel,Net Income (Normalized),FQ 1Q86,-29800
Intel,Net Income (Normalized),FQ 4Q85,-14900
Intel,Net Income (Normalized),FQ 3Q85,-3600
Intel,Net Income (Normalized),FQ 2Q85,9200
Intel,Net Income (Normalized),FQ 1Q85,10800
Intel,Net Income (Normalized),FQ 4Q84,23200
Intel,Net Income (Normalized),FQ 3Q84,70000
Intel,Net Income (Normalized),FQ 2Q84,54700
Intel,Net Income (Normalized),FQ 1Q84,50300
Intel,Research and Development Expenses,FQ 1Q25,3640000
Intel,Research and Development Expenses,FQ 4Q24,3876000
Intel,Research and Development Expenses,FQ 3Q24,4049000
Intel,Research and Development Expenses,FQ 2Q24,4239000
Intel,Research and Development Expenses,FQ 1Q24,4382000
Intel,Research and Development Expenses,FQ 4Q23,3987000
Intel,Research and Development Expenses,FQ 3Q23,3870000
Intel,Research and Development Expenses,FQ 2Q23,4080000
Intel,Research and Development Expenses,FQ 1Q23,4109000
Intel,Research and Development Expenses,FQ 4Q22,4464000
Intel,Research and Development Expenses,FQ 3Q22,4302000
Intel,Research and Development Expenses,FQ 2Q22,4400000
Intel,Research and Development Expenses,FQ 1Q22,4362000
Intel,Research and Development Expenses,FQ 4Q21,4049000
Intel,Research and Development Expenses,FQ 3Q21,3803000
Intel,Research and Development Expenses,FQ 2Q21,3715000
Intel,Research and Development Expenses,FQ 1Q21,3623000
Intel,Research and Development Expenses,FQ 4Q20,3655000
Intel,Research and Development Expenses,FQ 3Q20,3272000
Intel,Research and Development Expenses,FQ 2Q20,3354000
Intel,Research and Development Expenses,FQ 1Q20,3275000
Intel,Research and Development Expenses,FQ 4Q19,3384000
Intel,Research and Development Expenses,FQ 3Q19,3208000
Intel,Research and Development Expenses,FQ 2Q19,3438000
